No. of threads, Time elapsed(in ns)
1, 333424214
2, 320482969
3, 308974148
4, 299749349
5, 292835050
6, 283411891
7, 270613073
8, 267367429
8, 261315599
8, 258754471
8, 256165924
8, 253393369
8, 245249532
8, 242546804
8, 240074653
8, 230484454
8, 227884590
8, 225920525
8, 221483429
8, 219497883
8, 216953434
8, 214976625
8, 204032020
8, 191035686
8, 186787257
8, 183564255
8, 181071952
8, 175769473
8, 173557937
8, 171301775
8, 168220693
8, 165114534
8, 159949880
8, 157540775
8, 153369333
8, 150823405
8, 148250841
8, 145196167
8, 131090010
8, 110242641
8, 108265285
8, 106563908
8, 104485736
8, 102591557
8, 99457972
8, 96745831
8, 93679364
8, 89924919
8, 86286491
8, 84486622
8, 82722452
8, 79890006
8, 76630187
8, 63993363
8, 58662504
8, 45453016
8, 43255457
8, 39217306
8, 31416178
8, 28899553
8, 26938793
8, 24115296
8, 22131715
8, 20196529
8, 15244093
8, 9580415
8, 6790339
8, 4437112
8, 27050
8, 996192422
8, 987422170
8, 985132056
8, 979461729
8, 975309779
8, 971496595
8, 968366964
8, 961077235
8, 954043677
8, 945311933
8, 934694775
